id,title,slug,author,status,publish_date,comments_count,title_length,description_length,content_length,has_image,external_image,needs_truncation
75,<strong>[J13] Les coachs Al3x et Flo gagnent enfin&nbsp;!</strong>,strongj13-les-coachs-al3x-et-flo-gagnent-enfinnbspstrong,Legalodec,published,2018-03-16 19:38:20.873000,31,66,389,3962,Y,Y,Y
76,[Breizh Bowl X] Et voici les deux premiers rosters non-officiels!,breizh-bowl-x-et-voici-les-deux-premiers-rosters-non-officiels,Legalodec,published,2018-03-18 16:08:35.895000,10,65,166,2946,Y,Y,N
77,La trapinette pour...,la-trapinette-pour,Legalodec,published,2018-03-21 17:05:35.164000,40,21,336,2700,Y,Y,Y
78,&nbsp;[Primes de match] Plus d’un million de pièces d’or pour le coach Flo&nbsp;!,nbspprimes-de-match-plus-dun-million-de-pièces-dor-pour-le-coach-flonbsp,Legalodec,published,2018-03-24 19:04:37.386000,29,81,649,3232,Y,Y,Y
79,De l'importance d'avoir la classe,de-limportance-davoir-la-classe,Legalodec,published,2018-03-28 11:56:12.057000,22,33,581,2651,Y,Y,Y
80,"Le Colonel: ""Une ligue minus? Pourquoi pas mais...",le-colonel-une-ligue-minus-pourquoi-pas,Legalodec,published,2018-04-01 19:53:52.378000,16,50,691,3645,Y,Y,Y
81,Contrat-Nappe: le point avant la dernière journée,contrat-nappe-la-point-avant-la-dernière-journée,Legalodec,published,2018-04-02 13:58:58.008000,21,49,718,7507,Y,Y,Y
82,La Buvette Korrigane #6,la-buvette-korrigane-6br,DavidSycod,published,2018-04-03 08:30:02.271000,6,23,256,4396,Y,Y,Y
83,<br>Bloody absent des Play-Off&nbsp;? Je ne pense pas&nbsp;!<br>,brbloody-absent-des-play-offnbsp-je-ne-pense-pasnbspbr,Tyra,published,2018-04-08 16:41:34.832000,18,64,490,3401,Y,Y,Y
84,Jeu concours,titre-du-nouvel-article-cliquez-moi-2,arctulipe,published,2018-04-11 19:41:05.270000,73,12,158,2363,Y,Y,N
85,[Kermesse] Et l'Enfer trembla,kermesse-et-lenfer-tremblabr,Tyra,published,2018-04-18 12:47:43.368000,10,29,177,3996,Y,Y,N
86,Point presse : bientôt les PO au Valdemor (1/2),point-presse-bientôt-les-po-au-valdemor-12br,DwarfKeeper,published,2018-04-18 18:24:34.122000,31,47,472,5212,Y,Y,Y
87,[Blood Bowl Leaks] Mino Gate,blood-bowl-leaks-mino-gate,EdwardGnomden,published,2018-04-22 21:28:52.654000,6,28,261,9536,Y,Y,Y
88,[Kermesse] Coupe des Voraces (Lyon),kermesse-coupe-des-voraces-lyonbr,Tyra,published,2018-04-23 09:00:09.880000,34,35,475,12548,Y,Y,Y
89,Le Bloodbowl vu par un rookie,le-bloodbowl-vu-par-un-rookiebr,Tyra,published,2018-04-30 09:23:44.790000,8,29,151,77223,Y,Y,N
90,La ligue de cognac est au-dessus.,la-ligue-de-cognac-est-au-dessusnbsp,Bagouze,published,2018-05-03 20:19:20.997000,15,33,572,6095,Y,Y,Y
91,[Mercato] Chicagork signe en Ligue de Condate&nbsp;!,mercato-chicagork-signe-en-ligue-de-condatenbsp,Legalodec,published,2018-05-04 20:03:16.245000,32,52,696,4223,Y,Y,Y
92,[NOOB] Mettre une photo sur le blog,noob-mettre-une-photo-sur-le-blogbr,Tyra,published,2018-05-06 10:20:17.580000,18,35,45,752728,Y,Y,N
93,Dernier carré: les favoris au rendez-vous!,dernier-carré-les-favoris-au-rendez-vous,Legalodec,published,2018-05-07 22:10:33.737000,10,42,228,2662,Y,Y,Y
94,Valdemor: l'autre façon de jouer,valdemor-lautre-façon-de-jouer,Legalodec,published,2018-05-12 08:49:55.040000,18,32,405,3543,Y,Y,Y
95,Money time pour les arnaqueurs,money-time-pour-les-arnaqueurs,longusbarbe,published,2018-05-16 22:55:34.657000,12,30,98,4911,Y,Y,N
96,Horreur à Pont Réan,horreur-à-pont-réan,Legalodec,published,2018-05-19 15:42:46.878000,17,19,227,27998,Y,Y,Y
97,Finale de la LdC: ce sera Papatchanka VS Doc Nova !,finale-de-la-ldc-ce-sera-papatchanka-vs-doc-nova,Legalodec,published,2018-05-22 13:28:09.124000,24,51,697,7049,Y,Y,Y
98,[PO] Le match des poids lourdingues,po-le-match-des-poids-lourdingues,longusbarbe,published,2018-05-24 21:16:21.409000,2,35,176,2769,Y,Y,N
99,LdC: et le meilleur jeu de passe revient à...,ldc-et-le-meilleur-jeu-de-passe-revient-à,Legalodec,published,2018-05-26 09:15:50.129000,7,45,432,5562,Y,Y,Y
100,[PO] Le Match des besogneux,po-le-match-des-besogneux,longusbarbe,published,2018-05-27 00:18:13.652000,10,27,173,3704,Y,Y,N
101,La revanche des loosers !<br>,titre-du-nouvel-article-cliquez-moi-3,BadoloSaiynz,published,2018-05-28 09:16:26.361000,5,29,2731,4530,Y,Y,Y
102,A Mort l'Arbitre !!!,a-mort-larbitre,Legalodec,published,2018-05-29 16:28:21.860000,4,20,368,6273,Y,Y,Y
103,CELA SE BOUSCULE AU PORTILLON !!!<br>,qbigstrongcela-se-bouscule-au-portillon-strongbigqbr,DavidSycod,published,2018-05-30 09:53:12.127000,10,37,337,4924,Y,Y,Y
104,Crampon d'Or: on en a GROS !!,crampon-dor-on-en-a-gros,Legalodec,published,2018-05-31 20:10:03.303000,16,29,563,6857,Y,Y,Y
105,UN MATCH DE LA MORT<br>,titre-du-nouvel-article-cliquez-moi-4,Gilel,published,2018-06-01 15:11:13.246000,1,23,188,1748,Y,Y,N
106,Vive la BBC !<br>,vive-la-bbc-br,Acryosis,published,2018-06-04 13:49:41.034000,14,17,86,3672,Y,Y,N
107,Papatchanka remporte la Ligue de Condate !!,papatchanka-remporte-la-ligue-de-condate,Legalodec,published,2018-06-05 21:04:35.496000,8,43,490,5354,Y,Y,Y
108,Le Champion 2018 de la BN sera...,le-champion-2018-de-la-bn-sera,giom,published,2018-06-06 14:00:21.368000,24,33,30,8400,Y,Y,N
110,5 bonnes raisons de ne pas rater le Breizh Bowl !<br>,nbsp5-bonnes-raisons-de-ne-pas-rater-le-breizh-bowl-br,Guizmo,published,2018-06-07 11:25:16.494000,10,53,178,4906,Y,Y,N
111,Lotobowl: Go The Hakes s'offre le RFS !!,stronglotobowlnbsp-go-the-hakes-soffre-le-rfsnbspstrong,Legalodec,published,2018-06-08 18:27:00.404000,6,40,633,3608,Y,Y,Y
112,Résultat du jeu concours,résultat-du-jeu-concours,arctulipe,published,2018-06-08 20:38:36.980000,5,24,230,3295,Y,Y,Y
114,[PO] Le match des raclures,po-le-match-des-raclures-1,longusbarbe,published,2018-06-13 22:39:20.289000,10,26,288,2913,Y,Y,Y
115,Encore un pari à la con...,encore-un-pari-à-la-con,Bagouze,published,2018-06-22 11:48:27.533000,28,26,321,2924,Y,Y,Y
116,"Acryosis, Rookie Of The Year !!",acryosis-rookie-of-the-year,Legalodec,published,2018-06-25 13:47:23.375000,6,31,370,4960,Y,Y,Y
117,[LETTRE OUVERTE] Non à la BBC<br>,lettre-ouverte-non-à-la-bbcbr,Tyra,published,2018-06-26 12:56:05.093000,8,33,121,3336,Y,Y,N
118,[Corpo] Tyra'Kadémie,corpo-tyrakadémiebr,Tyra,published,2018-06-28 11:53:03.271000,25,20,327,3360,Y,Y,Y
119,"DOC NOVA : ""Vous rigolez !? (*<em>éclat de rire</em>*) Une fois mais pas deux !""",doc-nova-vous-rigolez-eméclat-de-rireem-une-fois-mais-pas-deux-br,DavidSycod,published,2018-06-29 10:03:42.454000,11,80,205,4743,Y,Y,Y
120,Lothurn signe en Ligue de Condate !!,lothurn-signe-en-ligue-de-condate,Legalodec,published,2018-06-29 16:29:01.424000,18,36,308,3085,Y,Y,Y
121,Demi-Finale : la revanche des tocards<br>,demi-finale-la-revanche-des-tocardsbr,DwarfKeeper,published,2018-07-03 17:51:45.491000,13,41,322,3547,Y,Y,Y
122,[Mercato] Les franchises du Valdemor en partance pour la Ligue de Condate.,mercato-les-franchises-du-valdemor-en-partance-pour-la-ligue-de-condate,longusbarbe,published,2018-07-04 23:34:27.756000,14,74,242,7680,Y,Y,Y
123,[CORPO] Du nouveau à la Tyra'Kadémie<strong>™</strong><br>,titre-du-nouvel-article-cliquez-moi-5,Tyra,published,2018-07-06 07:20:21.355000,21,58,247,2754,Y,Y,Y
124,Et voilà le RFS 2018 !!,et-voilà-le-rfs-2018,Legalodec,published,2018-07-07 08:50:05.684000,29,23,282,4305,Y,Y,Y
125,Réveil douloureux pour la horde du haut pouldu,réveil-douloureux-pour-la-horde-du-haut-pouldu,Bagouze,published,2018-07-07 15:05:30.544000,14,46,448,3005,Y,Y,Y
126,Lendemain de soirée chez les Grudgers<br>,lendemain-de-soirée-chez-les-grudgersbr,DwarfKeeper,published,2018-07-08 08:27:46.138000,13,41,344,4313,Y,Y,Y
127,Double peine pour le Colonel ?,double-peine-pour-le-colonel,Legalodec,published,2018-07-08 21:08:12.652000,44,30,248,5418,Y,Y,Y
128,Et voici le Contrat-Nappe 2018 !!,et-voici-le-contrat-nappe-2018,Legalodec,published,2018-07-11 15:40:41.697000,56,33,626,4315,Y,Y,Y
129,[B3C] Une finale 100%,b3c-une-finale-100nbsp,Bagouze,published,2018-07-20 14:27:47.724000,42,21,430,7085,Y,Y,Y
130,"<font size=""7""></font>«... J'ai appris de mes erreurs.»<br>",big-jai-appris-de-mes-erreursbigbr,DavidSycod,published,2018-07-24 15:03:44.667000,15,59,504,11878,Y,Y,Y
131,Retour des Middenheim Cadaverors en Ligue de Condate !,retour-des-middenheim-cadaverors-en-ligue-de-condate,Legalodec,published,2018-07-31 21:02:45.389000,6,54,649,2877,Y,Y,Y
132,Max Eclaterate chez les Raz'tulipe?,strongmax-eclaterate-chez-les-raztulipenbspstrong,Legalodec,published,2018-08-07 08:42:33.163000,9,35,585,3283,Y,Y,Y
133,"Holy Blitzers, ou la véritable vitrine de la NRA",holy-blitzers-ou-la-véritable-vitrine-de-la-nra,Legalodec,published,2018-08-08 21:47:28.806000,9,48,490,5163,Y,Y,Y
134,Le Colonel Castor signe à la Arc Coop!,le-colonel-castor-signe-à-la-arc-coopnbsp,Legalodec,published,2018-08-15 12:53:01.161000,41,38,360,6445,Y,Y,Y
135,Vers une trission Go The Mad Pabric?,vers-une-trission-go-the-mad-pabricnbsp,Legalodec,published,2018-08-18 10:14:03.020000,17,36,495,4596,Y,Y,Y
136,Offre de Sponsoring du LonGusBarbe de Cognac Consortium,offre-de-sponsoring-du-longusbarbe-consortium,longusbarbe,published,2018-08-20 13:48:11.321000,35,55,209,3780,Y,Y,Y
137,Il faut sauver le soldat Castor,il-faut-sauver-le-soldat-castor,longusbarbe,published,2018-08-21 02:06:12.546000,37,31,192,6406,Y,Y,N
138,"Khelby: ""Faire péter Fungus au tour 1""",khelbynbsp-nbspfaire-péter-fungus-au-tour-1nbsp,Legalodec,published,2018-08-22 09:43:45.703000,7,38,498,3711,Y,Y,Y
139,Go The Mad Papy signe en Ligue de Condate !,go-the-mad-papy-signe-en-ligue-de-condate,Legalodec,published,2018-08-22 22:39:51.682000,7,43,318,2751,Y,Y,Y
140,corpos : La BBC prend en compte le coming out du Colonel Castor,corpos-la-bbc-prend-en-compte-le-coming-out-du-colonel-castor,Acryosis,published,2018-08-27 14:13:40.355000,10,63,398,3357,Y,Y,Y
141,Heinrich ne signera pas à la Condate&nbsp;!,heinrich-ne-signera-pas-à-la-condatenbsp,giom,published,2018-08-29 13:16:50.803000,9,43,135,4127,Y,Y,N
142,C'est la rentrée à la Tyra'Kadémie,cest-la-rentrée-à-la-tyrakadémiebr,Tyra,published,2018-08-30 20:36:02.298000,12,34,491,12329,Y,Y,Y
143,Tosty reprend les Terrors of Cognac...,tosty-reprend-les-terrors-of-cognac,Legalodec,published,2018-09-02 16:06:22.933000,6,38,460,2566,Y,Y,Y
144,Il n’y aura pas d’invasion de zombies en 2019 !,il-ny-aura-pas-dinvasion-de-zombies-en-2019,Legalodec,published,2018-09-03 20:52:06.790000,5,47,240,2119,Y,Y,Y
145,[Goblet Gate] L’omerta à la BBC.,goblet-gate-lomerta-à-la-bbc,EdwardGnomden,published,2018-09-03 23:49:29.993000,7,32,203,7938,Y,Y,Y
146,Un rentrée en silence pour une saison bruyante !,un-rentrée-en-silence-pour-une-saison-bruyante,Chatman,published,2018-09-04 17:19:36.082000,2,48,36,3002,Y,Y,N
147,Rhum signe en Ligue de Condate !,rhum-signe-en-ligue-de-condate,Legalodec,published,2018-09-04 20:51:39.424000,5,32,254,2837,Y,Y,Y
148,une demi-finale de feu de dieu !<br>,une-demi-finale-de-feu-de-dieu-br,Feufollet,published,2018-09-05 01:27:32.945000,4,36,104,2843,Y,Y,N
149,[BN] Un début de saison en fanfare !,bn-un-début-de-saison-en-fanfare-br,Tyra,published,2018-09-06 08:41:16.491000,18,36,123,2234,Y,Y,N
